,University Name,Department Name,Faculty Directory Homepage
sp19_student,Syracuse University,Computer Science,http://eng-cs.syr.edu/our-departments/electrical-engineering-and-computer-science/people/?filter=*
sp19_student,Stevens Institute of Technology,Computer Science,https://www.stevens.edu/schaefer-school-engineering-science/departments/computer-science/faculty-staff
sp19_student,Case Western Reserve University,Computer Science,http://engineering.case.edu/eecs/faculty-staff
sp19_student,UC Berkeley,Computer Science,https://www2.eecs.berkeley.edu/Faculty/Lists/CS/faculty.html
sp19_student,The University of Hong Kong,Computer Science,https://www.cs.hku.hk/people/academic.jsp
sp19_student,National University of Singapore ,Computer Science ,https://www.comp.nus.edu.sg/about/depts/cs/faculty/
sp19_student,University of Oxford,ENGINEERING,https://www.eng.ox.ac.uk/people/
sp19_student,Boston College,Computer Science ,https://www.bc.edu/content/bc-web/schools/mcas/faculty.html#computer_science
sp19_student,Elmhurst College,Computer Science,https://www.elmhurst.edu/academics/departments/computer-science-information-systems/faculty/
sp19_student,The Hong Kong University of Science and Technology,Computer Science and Engineering,https://www.cse.ust.hk/admin/people/faculty/
sp19_student,"University of Minnesota, Morris",Computer Science,https://academics.morris.umn.edu/computer-science/computer-science-faculty
sp19_student,Carnegie Mellon University,Civil and Environmental Engineering,https://www.cmu.edu/cee/people/faculty/index.html
sp19_student,Florida State University,Computer Science,https://www.cs.fsu.edu/department/faculty/
sp19_student,Fordham University,Computer and Information Science,"https://www.fordham.edu/info/25112/cis_faculty_and_administration"
sp19_student,University of Missouri,Electrical Engineering and Computer Science ,https://engineering.missouri.edu/academics/eecs/eecs-faculty/
sp19_student,University of San Francisco,Computer Science ,https://www.usfca.edu/arts-sciences/undergraduate-programs/computer-science/faculty
sp19_student,Haverford College,Computer science,https://www.haverford.edu/computer-science/faculty-staff
sp19_student,University of Pittsburgh,Computer Science,http://sci.pitt.edu/faculty-and-research/faculty/
sp19_student,Rose Hulman Institute of Technology,Electrical & Computer Engineering,https://www.rose-hulman.edu/academics/academic-departments/electrical-computer-engineering/faculty-and-staff.html
sp19_student,University of Hawaii,Civil and Environmental Engineering,http://www.cee.hawaii.edu/faculty-staff-main/
sp19_student,University of Utah,Compute Science,http://www.cs.utah.edu/people/faculty/
sp19_student,Princeton University,Electrical Engineering,http://ee.princeton.edu/people/faculty
sp19_student,Harvard University,Electrical Engineering,https://www.seas.harvard.edu/electrical-engineering/people
sp19_student,Depaul University,Computer Science,https://www.cdm.depaul.edu/Faculty-and-Staff/Pages/Faculty.aspx?ftype=soc&selectedareataught=&lastnamefilter=ALL&level=-1
sp19_student,University of Surrey,Computer Science,https://www.surrey.ac.uk/department-computer-science/people/academic-staff
sp19_student,California State University Long Beach,Computer Engineering & Computer Science,http://web.csulb.edu/colleges/coe/cecs/faculty/index.shtml
sp19_student,University of Washington,Electrical Engineering,https://www.ece.uw.edu/faculty/
sp19_student,University of Washington,Computer Science,https://www.cs.washington.edu/people/faculty
sp19_student,Florida Atlantic University,Computer & Electrical Engineering & Computer Science,http://www.ceecs.fau.edu/directory/
sp19_student,American University,Computer Science,https://www.american.edu/cas/cs/faculty.cfm
sp19_student,Lehigh University,Computer Science & Engineering,https://engineering.lehigh.edu/cse/faculty
sp19_student,Biola University,Computer Science,https://www.biola.edu/computer-science-bs/faculty
sp19_student,Vassar College,Computer Science,https://computerscience.vassar.edu/bios/
sp19_student,University of Michigan,Electrical Engineering and Computer Science,https://www.eecs.umich.edu/eecs/faculty/eecsfaculty.html
sp19_student,Duke University ,Biological Engineering,https://ece.duke.edu/faculty/computer-engineering
sp19_student,De Anza College,Computer Information Systems,https://www.deanza.edu/cis/faculty.html
sp19_student,University of Evansville,Electrical Engineering and Computer Science,https://www.evansville.edu/majors/eecs/faculty.cfm
sp19_student,Colorado School of Mines,Computer Science,https://cs.mines.edu/faculty-and-staff/
sp19_student,Computer and Information Science,Computer Science,https://cs.uoregon.edu/people/faculty
sp19_student,University of Massachusetts Boston,Computer Science,https://www.umb.edu/academics/csm/computer_science/faculty
sp19_student,Univeristy of Kentucky,Computer Science,http://www.engr.uky.edu/research-faculty/departments/computer-science/people/faculty
sp19_student,Utah State University,Computer Science,https://cs.usu.edu/people/faculty/index
sp19_student,Cal Poly,Computer Science and Software Engineering,https://csc.calpoly.edu
sp19_student,IIT Hyderabad,Computer Science and Engineering,https://cse.iith.ac.in/people/faculty.html
sp19_student,UC Berkeley,Electrical Engineering,https://www2.eecs.berkeley.edu/Faculty/Lists/EE/faculty.html
sp19_student,Davidison,Mathematics and Computer Science,https://www.davidson.edu/academics/mathematics-and-computer-science/faculty-and-staff
sp19_student,University of Kansas,Electrical Engineering and Computer Science,https://eecs.ku.edu/faculty
